Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,1.0,2.7,187.9,53,481,,
2,3.5,10.9,156.8,91,612,24,
3,6.3,20.8,141.8,123,722,21,
4,9.2,31.9,141.8,123,722,21,
5,12.3,44.2,127.9,167,875,20,
6,15.4,56.5,125.8,176,905,19,
7,18.4,68.7,126.8,172,890,19,
8,21.5,81.1,125.3,178,912,20,
9,24.8,94.7,123.3,187,942,19,
10,27.8,107.1,123.3,187,942,19,
11,31.1,120.5,125.1,179,915,19,
12,34.2,132.9,123.0,188,947,19,
13,37.3,145.6,122.8,189,950,20,
14,40.4,158.2,121.9,193,964,20,
15,43.5,170.8,122.7,189,952,19,
16,46.5,183.1,124.0,184,931,20,
17,49.3,194.4,124.0,184,931,20,
18,52.3,206.7,123.1,188,945,20,
19,55.4,219.3,124.0,184,931,20,
20,58.2,230.4,124.0,184,931,20,
21,61.2,242.8,124.7,180,921,20,
22,64.3,255.1,125.4,177,910,20,
23,67.1,266.3,125.4,177,910,20,
24,70.2,278.7,123.9,184,933,20,
25,73.2,291.0,125.0,179,916,20,
26,76.4,303.7,124.0,184,931,20,
27,79.2,315.0,124.0,184,931,20,
28,82.2,327.4,123.6,185,937,20,
29,85.3,339.8,124.1,183,930,20,
30,88.4,352.0,125.2,178,913,20,
31,91.4,364.4,124.4,182,925,20,
32,94.5,376.8,125.6,177,907,19,
33,97.6,389.1,125.2,178,913,20,
34,100.6,401.3,125.2,178,913,20,
35,103.4,412.5,125.2,178,913,20,
36,106.5,424.8,124.7,180,921,20,
37,109.6,437.3,125.2,178,913,20,
38,112.7,450.0,122.2,192,960,20,
39,115.8,462.5,123.0,188,947,20,
40,118.8,475.1,122.8,189,950,20,
41,121.9,487.7,122.9,189,948,20,
42,124.7,499.1,122.9,189,948,20,
43,127.8,511.6,122.8,189,950,20,
44,130.9,524.4,123.3,187,942,20,
45,134.0,536.9,122.8,189,950,20,
46,137.1,549.7,122.3,191,958,20,
47,140.2,562.3,122.1,192,961,19,
48,143.2,574.8,123.0,188,947,20,
49,146.4,587.7,122.5,190,955,19,
50,149.5,600.2,123.4,186,941,20,
