Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
1,3.4,13.6,124.6,181,922,23,
2,6.0,24.1,124.6,181,922,23,
3,9.1,37.5,119.9,203,998,21,
4,11.6,48.5,116.7,220,1057,21,
5,14.7,61.8,116.2,223,1067,21,
6,17.8,75.0,117.1,218,1050,20,
7,20.9,88.3,117.2,217,1048,20,
8,23.5,99.0,117.2,217,1048,20,
9,26.6,112.1,118.1,212,1031,20,
10,29.7,125.2,118.9,208,1016,20,
11,32.7,138.3,118.9,208,1016,20,
12,35.8,151.2,120.4,201,990,20,
13,38.4,161.6,120.4,201,990,20,
14,41.5,174.8,120.5,200,988,20,
15,44.6,188.0,117.9,214,1034,20,
16,47.6,200.9,118.4,211,1025,20,
17,50.7,213.7,120.2,202,993,20,
18,53.8,226.3,120.8,199,983,20,
19,56.9,239.2,122.2,192,960,20,
20,60.0,251.8,122.4,191,956,20,
21,63.1,264.6,122.2,192,960,20,
22,65.7,274.9,122.2,192,960,20,
23,68.8,287.7,121.4,196,973,20,
24,72.3,302.9,121.0,198,979,19,
25,74.9,313.3,121.0,198,979,19,
26,78.5,328.8,119.5,205,1005,19,
27,81.6,341.9,117.9,214,1034,19,
28,84.2,352.6,117.9,214,1034,19,
29,87.2,365.6,117.7,215,1038,21,
30,90.3,378.6,118.7,209,1020,20,
31,93.4,391.4,119.4,206,1007,20,
32,96.5,404.2,120.8,199,983,19,
33,99.6,417.2,120.1,202,995,19,
34,102.7,430.3,119.2,207,1011,19,
35,106.3,445.7,119.5,205,1005,19,
36,109.3,458.8,117.9,214,1034,19,
37,112.4,472.0,118.2,212,1029,20,
38,115.5,484.8,119.6,205,1004,19,
39,118.6,497.7,119.6,205,1004,19,
40,121.7,510.6,120.3,201,991,19,
41,124.8,523.6,120.0,203,997,19,
42,127.8,536.5,119.0,208,1014,19,
43,130.9,549.5,119.1,207,1013,19,
44,134.0,562.5,118.7,209,1020,19,
45,137.1,575.6,118.4,211,1025,19,
46,140.2,588.7,118.1,212,1031,19,
47,143.8,604.1,119.6,205,1004,18,
48,146.9,617.1,119.2,207,1011,20,
49,149.5,627.9,119.2,207,1011,20,
50,152.6,641.1,117.7,215,1038,21,
51,155.7,654.3,118.7,209,1020,20,
52,158.2,665.0,118.7,209,1020,20,
53,161.3,678.0,117.3,217,1046,20,
54,164.4,690.9,120.5,200,988,20,
55,167.5,703.9,120.1,202,995,20,
56,170.1,714.4,120.1,202,995,20,
57,173.1,727.7,119.5,205,1005,20,
58,176.2,740.9,116.8,220,1055,21,
59,179.3,754.0,118.6,210,1022,20,
60,181.9,764.5,118.6,210,1022,20,
61,185.0,777.7,118.9,208,1016,20,
62,188.0,790.9,118.2,212,1029,20,
63,191.1,803.9,119.4,206,1007,20,
64,193.7,814.4,119.4,206,1007,20,
65,196.8,827.4,119.4,206,1007,20,
66,199.9,840.6,119.5,205,1005,20,
67,202.9,853.7,118.7,209,1020,21,
68,205.5,864.3,118.7,209,1020,21,
69,208.6,877.8,118.1,212,1031,21,
70,211.1,888.7,116.8,220,1055,21,
71,214.2,901.8,116.3,222,1065,21,
72,217.3,915.2,117.4,216,1044,21,
73,220.4,928.4,117.8,214,1036,20,
74,223.0,939.2,117.8,214,1036,20,
75,226.1,952.5,117.4,216,1044,21,
76,228.6,963.3,117.4,216,1044,21,
77,231.7,976.4,117.9,214,1034,21,
78,234.8,989.5,119.2,207,1011,21,
79,237.4,1000.1,119.2,207,1011,21,
80,240.5,1013.3,118.9,208,1016,20,
81,243.6,1026.6,118.0,213,1033,20,
82,246.6,1039.8,117.4,216,1044,20,
83,249.7,1053.0,117.8,214,1036,20,
84,252.3,1063.6,117.8,214,1036,20,
85,255.4,1076.8,117.7,215,1038,20,
86,258.5,1089.8,118.4,211,1025,20,
87,261.5,1103.0,118.1,212,1031,21,
88,264.1,1113.8,118.1,212,1031,21,
89,267.2,1127.1,117.1,218,1050,21,
90,270.3,1140.4,117.8,214,1036,20,
91,272.9,1151.1,117.8,214,1036,20,
92,276.0,1164.3,118.4,211,1025,21,
93,279.0,1177.4,118.0,213,1033,20,
94,282.1,1190.5,119.2,207,1011,20,
95,284.7,1201.2,119.2,207,1011,20,
96,287.8,1214.6,117.6,215,1040,21,
97,290.9,1228.1,116.4,222,1063,21,
98,293.4,1238.9,116.4,222,1063,21,
99,296.5,1252.4,116.4,222,1063,21,
100,299.6,1265.6,118.3,211,1027,21,
101,302.2,1276.0,118.3,211,1027,21,
102,305.2,1289.2,119.2,207,1011,20,
103,307.8,1300.0,118.9,208,1016,21,
104,310.9,1313.5,118.1,212,1031,21,
105,314.0,1326.6,119.2,207,1011,21,
106,316.6,1337.1,119.2,207,1011,21,
107,319.6,1350.4,117.7,215,1038,21,
108,322.2,1361.3,117.7,215,1038,21,
109,324.8,1372.2,116.9,219,1054,21,
110,327.9,1385.5,117.6,215,1040,21,
111,330.5,1396.5,117.7,215,1038,21,
112,333.5,1409.6,119.0,208,1014,21,
113,336.1,1420.2,119.0,208,1014,21,
114,339.2,1433.5,118.5,210,1023,21,
115,341.8,1444.2,118.5,210,1023,21,
116,344.3,1455.2,118.5,210,1023,21,
117,347.4,1468.3,116.9,219,1054,23,
118,350.5,1481.4,119.5,205,1005,21,
119,353.1,1492.1,119.5,205,1005,21,
120,356.2,1505.3,118.3,211,1027,21,
121,358.7,1516.0,118.3,211,1027,21,
122,361.8,1529.1,118.2,212,1029,21,
123,364.4,1540.0,118.8,209,1018,21,
124,367.5,1552.9,118.4,211,1025,21,
125,370.1,1563.5,121.3,196,974,21,
126,373.2,1576.9,119.9,203,998,21,
127,375.7,1587.8,117.5,216,1042,21,
128,378.8,1600.9,116.6,221,1059,21,
129,381.4,1611.6,119.5,205,1005,21,
130,384.5,1624.8,120.3,201,991,22,
131,387.0,1635.4,120.3,201,991,22,
132,389.6,1646.1,118.9,208,1016,22,
